,stature,weightkg,waistcircumference,buttockcircumference
0,156.0,65.7,850,1011
1,166.5,53.400000000000006,708,893
2,171.10000000000002,66.3,727,987
3,166.0,78.2,923,1012
4,157.20000000000002,88.60000000000001,1163,1281
5,170.70000000000002,83.7,968,1085
6,164.4,73.2,964,1049
7,167.10000000000002,76.0,914,1095
8,152.1,54.5,755,965
9,159.0,68.4,944,1045
10,170.70000000000002,99.0,935,1248
11,166.8,74.2,942,1014
12,165.4,78.10000000000001,995,1049
13,166.60000000000002,71.8,848,1012
14,159.9,70.9,929,1000
15,167.3,67.2,835,1007
16,164.70000000000002,62.0,772,969
17,167.8,59.5,805,941
18,167.9,74.10000000000001,868,1011
19,161.5,60.5,792,1021
20,151.70000000000002,80.0,1137,1107
21,167.4,74.7,881,1050
22,162.3,49.1,702,867
23,166.8,70.3,954,1038
24,164.4,71.5,796,981
25,157.9,70.8,1000,1069
26,144.6,48.800000000000004,742,917
27,162.0,69.10000000000001,912,997
28,168.4,73.0,913,1042
29,161.9,61.0,821,960
30,159.20000000000002,65.8,930,1056
31,165.5,70.9,901,1035
32,172.3,72.8,935,1034
33,167.70000000000002,84.60000000000001,1077,1154
34,165.4,94.5,1112,1184
35,163.4,62.7,812,991
36,168.3,57.800000000000004,869,933
37,155.20000000000002,52.400000000000006,712,900
38,161.70000000000002,73.2,1057,1052
39,158.8,79.10000000000001,964,1086
40,164.10000000000002,89.4,1134,1175
41,168.5,68.9,869,979
42,165.60000000000002,75.8,942,1021
43,160.3,73.10000000000001,1019,1041
44,160.8,74.8,865,1136
45,166.4,80.60000000000001,975,1046
46,161.9,71.4,814,1030
47,162.0,71.2,947,1053
48,172.0,65.7,794,1009
49,158.20000000000002,47.7,679,880
50,172.0,69.60000000000001,890,1050
51,172.0,119.60000000000001,1334,1306
52,170.10000000000002,88.7,1076,1160
53,162.70000000000002,75.4,1007,1075
54,153.60000000000002,67.8,897,1044
55,154.60000000000002,60.7,832,1006
56,165.4,57.2,766,981
57,160.5,68.9,878,1028
58,163.0,71.2,943,1055
59,161.20000000000002,60.400000000000006,825,979
60,175.70000000000002,69.7,812,985
61,167.0,85.4,1062,1167
62,163.20000000000002,61.7,914,1051
63,163.5,79.0,987,1066
64,168.20000000000002,67.2,868,1007
65,166.10000000000002,69.5,839,1050
66,159.60000000000002,66.9,814,974
67,159.60000000000002,57.400000000000006,804,989
68,166.5,81.5,925,1088
69,161.70000000000002,61.800000000000004,805,993
70,155.5,64.5,811,1042
71,157.8,55.7,757,969
72,158.10000000000002,61.400000000000006,839,967
73,169.8,66.8,821,1051
74,155.4,73.0,1001,1028
75,175.60000000000002,73.7,860,1045
76,156.60000000000002,69.3,922,1016
77,165.10000000000002,75.7,1012,1057
78,158.5,74.0,981,1049
79,165.70000000000002,68.2,870,1030
80,171.9,86.7,931,1200
81,182.20000000000002,88.2,895,1165
82,164.9,78.60000000000001,925,1141
83,168.70000000000002,62.2,751,985
84,169.8,78.2,1019,1115
85,153.0,60.800000000000004,784,1060
86,158.10000000000002,67.4,917,1023
87,160.9,68.60000000000001,865,1032
88,164.4,67.0,847,1015
89,154.8,63.5,785,1011
90,160.60000000000002,77.30000000000001,1004,1084
91,164.20000000000002,55.5,759,945
92,162.20000000000002,72.7,955,1104
93,166.9,59.300000000000004,694,947
94,174.5,99.80000000000001,1068,1205
95,149.5,58.1,948,999
96,149.3,64.2,912,1045
97,164.10000000000002,75.8,989,1027
98,160.70000000000002,68.3,887,1051
99,156.0,47.1,698,871
100,162.5,66.5,822,975
101,167.0,68.5,885,1027
102,161.60000000000002,57.900000000000006,764,947
103,158.20000000000002,64.7,943,966
104,173.0,59.1,809,951
105,150.1,45.0,739,874
106,151.5,57.2,826,960
107,157.60000000000002,72.10000000000001,962,1030
108,162.8,67.60000000000001,849,1029
109,158.60000000000002,71.10000000000001,951,1048
110,173.70000000000002,79.10000000000001,889,1083
111,157.60000000000002,53.6,790,974
112,162.60000000000002,63.900000000000006,811,966
113,160.4,62.800000000000004,831,991
114,167.3,78.80000000000001,958,1069
115,164.20000000000002,59.800000000000004,761,955
116,153.8,75.2,1070,1079
117,157.4,68.60000000000001,923,1005
118,163.70000000000002,66.8,949,1055
119,162.0,61.300000000000004,858,976
120,173.3,74.2,859,1041
121,152.6,52.2,721,876
122,173.20000000000002,76.7,908,1069
123,162.4,66.10000000000001,880,1030
124,150.70000000000002,50.5,759,902
125,156.0,63.7,919,1033
126,164.0,66.60000000000001,908,980
127,167.5,61.0,731,965
128,152.6,58.1,820,975
129,162.3,60.900000000000006,821,932
130,158.4,57.5,740,1054
131,167.10000000000002,79.7,1024,1100
132,155.20000000000002,74.5,932,1090
133,163.3,61.400000000000006,827,981
134,153.0,67.7,896,1061
135,160.60000000000002,50.800000000000004,738,968
136,161.70000000000002,63.300000000000004,832,1033
137,164.5,71.10000000000001,851,1042
138,168.10000000000002,72.7,859,1049
139,165.5,67.9,906,1050
140,162.60000000000002,83.30000000000001,1028,1136
141,163.5,62.2,786,990
142,157.20000000000002,61.6,853,966
143,160.8,57.300000000000004,745,950
144,166.20000000000002,50.7,737,925
145,158.20000000000002,61.1,802,998
146,170.10000000000002,86.60000000000001,1045,1114
147,160.20000000000002,52.300000000000004,763,925
148,154.9,67.60000000000001,955,1090
149,156.10000000000002,54.900000000000006,719,920
150,167.70000000000002,57.1,746,935
151,159.4,64.4,874,1035
152,162.8,64.9,772,1018
153,154.9,59.2,802,972
154,155.9,56.300000000000004,719,974
155,161.9,58.0,862,955
156,169.0,81.0,1044,1088
157,169.8,64.9,817,1001
158,170.5,65.4,817,997
159,162.5,57.0,816,955
160,166.60000000000002,80.5,939,1139
161,155.9,67.10000000000001,863,1035
162,159.5,67.3,915,1064
163,163.4,55.0,764,932
164,164.3,70.8,899,1068
165,166.70000000000002,53.800000000000004,782,933
166,166.10000000000002,77.10000000000001,897,1051
167,156.0,60.2,817,1008
168,161.0,71.9,900,1062
169,161.0,61.7,830,1009
170,168.20000000000002,76.10000000000001,947,1062
171,160.4,73.9,958,1050
172,154.0,56.0,767,981
173,163.8,64.7,777,948
174,165.60000000000002,72.4,896,1081
175,159.70000000000002,70.8,968,992
176,174.9,95.30000000000001,997,1101
177,166.10000000000002,74.8,879,1058
178,152.6,70.0,1000,1030
179,158.3,65.5,931,1078
180,153.3,49.900000000000006,748,916
181,157.5,55.300000000000004,734,940
182,177.60000000000002,92.4,1021,1171
183,171.3,71.60000000000001,874,1016
184,165.3,67.60000000000001,803,992
185,151.6,64.10000000000001,935,1017
186,165.8,66.60000000000001,810,983
187,161.70000000000002,66.3,882,1021
188,168.70000000000002,76.3,920,1084
189,160.3,71.7,1085,1099
190,153.9,64.3,923,1003
191,160.3,59.1,840,973
192,162.0,52.900000000000006,783,920
193,161.70000000000002,69.4,924,1076
194,160.0,69.9,972,1040
195,157.20000000000002,59.2,774,981
