,stature,weightkg,chestcircumference,waistcircumference
0,156.0,65.7,922,850
1,166.5,53.400000000000006,839,708
2,171.10000000000002,66.3,874,727
3,166.0,78.2,1008,923
4,157.20000000000002,88.60000000000001,1089,1163
5,170.70000000000002,83.7,1031,968
6,164.4,73.2,988,964
7,167.10000000000002,76.0,968,914
8,152.1,54.5,831,755
9,159.0,68.4,1010,944
10,170.70000000000002,99.0,1065,935
11,166.8,74.2,1034,942
12,165.4,78.10000000000001,1063,995
13,166.60000000000002,71.8,937,848
14,159.9,70.9,989,929
15,167.3,67.2,940,835
16,164.70000000000002,62.0,835,772
17,167.8,59.5,897,805
18,167.9,74.10000000000001,979,868
19,161.5,60.5,853,792
20,151.70000000000002,80.0,1090,1137
21,167.4,74.7,941,881
22,162.3,49.1,857,702
23,166.8,70.3,973,954
24,164.4,71.5,975,796
25,157.9,70.8,1026,1000
26,144.6,48.800000000000004,832,742
27,162.0,69.10000000000001,921,912
28,168.4,73.0,1032,913
29,161.9,61.0,904,821
30,159.20000000000002,65.8,951,930
31,165.5,70.9,950,901
32,172.3,72.8,965,935
33,167.70000000000002,84.60000000000001,1115,1077
34,165.4,94.5,1170,1112
35,163.4,62.7,895,812
36,168.3,57.800000000000004,944,869
37,155.20000000000002,52.400000000000006,833,712
38,161.70000000000002,73.2,1025,1057
39,158.8,79.10000000000001,982,964
40,164.10000000000002,89.4,1060,1134
41,168.5,68.9,991,869
42,165.60000000000002,75.8,994,942
43,160.3,73.10000000000001,1071,1019
44,160.8,74.8,945,865
45,166.4,80.60000000000001,1094,975
46,161.9,71.4,932,814
47,162.0,71.2,1013,947
48,172.0,65.7,910,794
49,158.20000000000002,47.7,793,679
50,172.0,69.60000000000001,954,890
51,172.0,119.60000000000001,1161,1334
52,170.10000000000002,88.7,1135,1076
53,162.70000000000002,75.4,1095,1007
54,153.60000000000002,67.8,1014,897
55,154.60000000000002,60.7,946,832
56,165.4,57.2,814,766
57,160.5,68.9,940,878
58,163.0,71.2,988,943
59,161.20000000000002,60.400000000000006,904,825
60,175.70000000000002,69.7,876,812
61,167.0,85.4,1090,1062
62,163.20000000000002,61.7,943,914
63,163.5,79.0,1132,987
64,168.20000000000002,67.2,977,868
65,166.10000000000002,69.5,977,839
66,159.60000000000002,66.9,1006,814
67,159.60000000000002,57.400000000000006,936,804
68,166.5,81.5,1065,925
69,161.70000000000002,61.800000000000004,890,805
70,155.5,64.5,900,811
71,157.8,55.7,862,757
72,158.10000000000002,61.400000000000006,896,839
73,169.8,66.8,943,821
74,155.4,73.0,1092,1001
75,175.60000000000002,73.7,920,860
76,156.60000000000002,69.3,1071,922
77,165.10000000000002,75.7,1001,1012
78,158.5,74.0,1126,981
79,165.70000000000002,68.2,982,870
80,171.9,86.7,1069,931
81,182.20000000000002,88.2,1061,895
82,164.9,78.60000000000001,1031,925
83,168.70000000000002,62.2,924,751
84,169.8,78.2,999,1019
85,153.0,60.800000000000004,865,784
86,158.10000000000002,67.4,998,917
87,160.9,68.60000000000001,930,865
88,164.4,67.0,934,847
89,154.8,63.5,856,785
90,160.60000000000002,77.30000000000001,979,1004
91,164.20000000000002,55.5,852,759
92,162.20000000000002,72.7,1014,955
93,166.9,59.300000000000004,841,694
94,174.5,99.80000000000001,1057,1068
95,149.5,58.1,986,948
96,149.3,64.2,951,912
97,164.10000000000002,75.8,1068,989
98,160.70000000000002,68.3,945,887
99,156.0,47.1,826,698
100,162.5,66.5,978,822
101,167.0,68.5,978,885
102,161.60000000000002,57.900000000000006,870,764
103,158.20000000000002,64.7,1080,943
104,173.0,59.1,921,809
105,150.1,45.0,846,739
106,151.5,57.2,959,826
107,157.60000000000002,72.10000000000001,1022,962
108,162.8,67.60000000000001,878,849
109,158.60000000000002,71.10000000000001,1029,951
110,173.70000000000002,79.10000000000001,936,889
111,157.60000000000002,53.6,834,790
112,162.60000000000002,63.900000000000006,931,811
113,160.4,62.800000000000004,981,831
114,167.3,78.80000000000001,1037,958
115,164.20000000000002,59.800000000000004,981,761
116,153.8,75.2,1052,1070
117,157.4,68.60000000000001,1028,923
118,163.70000000000002,66.8,946,949
119,162.0,61.300000000000004,930,858
120,173.3,74.2,937,859
121,152.6,52.2,810,721
122,173.20000000000002,76.7,991,908
123,162.4,66.10000000000001,985,880
124,150.70000000000002,50.5,844,759
125,156.0,63.7,965,919
126,164.0,66.60000000000001,985,908
127,167.5,61.0,862,731
128,152.6,58.1,863,820
129,162.3,60.900000000000006,870,821
130,158.4,57.5,815,740
131,167.10000000000002,79.7,1057,1024
132,155.20000000000002,74.5,1137,932
133,163.3,61.400000000000006,874,827
134,153.0,67.7,1004,896
135,160.60000000000002,50.800000000000004,844,738
136,161.70000000000002,63.300000000000004,950,832
137,164.5,71.10000000000001,1013,851
138,168.10000000000002,72.7,960,859
139,165.5,67.9,992,906
140,162.60000000000002,83.30000000000001,1069,1028
141,163.5,62.2,838,786
142,157.20000000000002,61.6,962,853
143,160.8,57.300000000000004,899,745
144,166.20000000000002,50.7,828,737
145,158.20000000000002,61.1,940,802
146,170.10000000000002,86.60000000000001,1156,1045
147,160.20000000000002,52.300000000000004,886,763
148,154.9,67.60000000000001,991,955
149,156.10000000000002,54.900000000000006,899,719
150,167.70000000000002,57.1,889,746
151,159.4,64.4,907,874
152,162.8,64.9,940,772
153,154.9,59.2,949,802
154,155.9,56.300000000000004,866,719
155,161.9,58.0,907,862
156,169.0,81.0,983,1044
157,169.8,64.9,895,817
158,170.5,65.4,892,817
159,162.5,57.0,875,816
160,166.60000000000002,80.5,1012,939
161,155.9,67.10000000000001,1026,863
162,159.5,67.3,977,915
163,163.4,55.0,812,764
164,164.3,70.8,913,899
165,166.70000000000002,53.800000000000004,943,782
166,166.10000000000002,77.10000000000001,1032,897
167,156.0,60.2,878,817
168,161.0,71.9,971,900
169,161.0,61.7,906,830
170,168.20000000000002,76.10000000000001,1024,947
171,160.4,73.9,1028,958
172,154.0,56.0,881,767
173,163.8,64.7,919,777
174,165.60000000000002,72.4,918,896
175,159.70000000000002,70.8,1118,968
176,174.9,95.30000000000001,1130,997
177,166.10000000000002,74.8,1002,879
178,152.6,70.0,1039,1000
179,158.3,65.5,934,931
180,153.3,49.900000000000006,844,748
181,157.5,55.300000000000004,821,734
182,177.60000000000002,92.4,1072,1021
183,171.3,71.60000000000001,1084,874
184,165.3,67.60000000000001,918,803
185,151.6,64.10000000000001,1032,935
186,165.8,66.60000000000001,971,810
187,161.70000000000002,66.3,1022,882
188,168.70000000000002,76.3,987,920
189,160.3,71.7,1036,1085
190,153.9,64.3,990,923
191,160.3,59.1,965,840
192,162.0,52.900000000000006,817,783
193,161.70000000000002,69.4,993,924
194,160.0,69.9,1031,972
195,157.20000000000002,59.2,877,774
196,163.20000000000002,54.0,818,708
197,169.0,70.10000000000001,945,879
198,168.20000000000002,68.10000000000001,916,830
199,165.70000000000002,86.4,1050,980
200,167.20000000000002,67.2,881,883
201,162.10000000000002,55.900000000000006,912,754
202,162.3,56.6,854,767
203,163.3,58.5,887,868
204,152.6,62.800000000000004,1005,938
205,157.0,46.7,825,682
206,161.60000000000002,59.900000000000006,874,762
207,169.0,64.2,972,802
208,163.70000000000002,81.30000000000001,1026,1060
209,171.8,71.9,979,922
210,158.8,54.800000000000004,873,783
211,152.0,48.5,844,707
212,161.8,65.8,921,795
213,163.10000000000002,75.3,1000,862
214,164.20000000000002,63.6,938,929
215,171.9,75.2,952,858
216,171.5,75.5,931,784
217,165.3,46.900000000000006,814,632
218,159.0,53.7,913,809
219,175.10000000000002,75.8,950,912
220,158.3,67.9,950,941
221,162.70000000000002,68.4,915,854
222,158.60000000000002,67.7,923,885
223,167.5,61.7,909,783
224,160.60000000000002,71.7,986,927
225,168.0,64.2,870,785
226,177.3,74.0,942,858
227,168.0,79.2,1105,958
228,164.5,58.1,838,707
229,155.8,72.7,1086,1004
230,166.5,70.4,985,905
231,160.10000000000002,65.3,960,989
232,165.8,72.5,964,906
233,162.3,72.10000000000001,1015,854
234,166.10000000000002,56.1,862,738
235,156.3,58.300000000000004,861,784
236,163.0,67.7,927,871
237,152.8,57.6,906,811
238,165.3,55.900000000000006,847,728
239,151.20000000000002,46.800000000000004,841,763
240,162.9,56.7,855,793
241,167.5,82.0,1072,1001
242,149.8,66.4,988,922
243,153.8,62.6,984,829
244,156.70000000000002,65.3,938,850
245,159.0,53.900000000000006,866,731
246,157.3,75.0,1063,996
247,159.5,70.4,949,871
248,161.0,67.5,982,1036
249,156.5,64.0,935,835
250,152.3,47.0,845,665
251,157.0,50.2,836,671
252,155.60000000000002,59.7,949,769
253,159.9,64.60000000000001,954,850
254,161.10000000000002,72.60000000000001,940,936
255,168.10000000000002,63.1,915,758
256,158.5,63.1,925,888
257,161.4,66.0,1032,941
258,167.4,78.9,988,812
259,165.3,53.1,838,704
260,159.3,70.8,992,1027
261,159.20000000000002,62.5,969,885
262,161.70000000000002,68.0,957,872
263,158.9,73.4,1093,1041
264,159.70000000000002,68.8,997,859
265,169.8,84.0,1090,1022
266,161.9,64.7,923,790
267,166.3,56.1,844,711
268,160.60000000000002,73.5,1011,941
269,160.9,73.3,997,1076
270,169.60000000000002,60.5,943,797
