,stature,weightkg,waistcircumference,buttockcircumference
0,177.60000000000002,81.5,933,979
1,170.20000000000002,72.60000000000001,870,944
2,173.5,92.9,964,1054
3,165.5,79.4,857,991
4,191.4,94.60000000000001,868,1029
5,172.0,80.2,950,973
6,181.0,116.2,1073,1139
7,185.0,95.4,1010,1068
8,177.70000000000002,99.5,1065,1061
9,181.10000000000002,70.2,824,916
10,178.0,88.2,994,1027
11,173.3,70.10000000000001,866,928
12,181.4,103.7,986,1082
13,186.10000000000002,111.60000000000001,1045,1112
14,170.9,89.60000000000001,1007,1136
15,174.0,92.4,1033,1009
16,169.4,77.9,908,985
17,176.60000000000002,96.9,1028,1051
18,174.8,76.0,874,974
19,179.4,90.80000000000001,999,1035
20,178.0,71.4,837,929
21,168.0,74.60000000000001,880,1013
22,165.3,79.2,978,1029
23,195.9,91.5,827,1008
24,175.5,96.5,1030,1056
25,163.0,67.5,885,923
26,182.5,107.30000000000001,1130,1146
27,179.5,79.30000000000001,912,996
28,174.5,78.2,864,1016
29,181.8,88.2,965,1048
30,188.10000000000002,71.5,777,915
31,176.0,94.7,1063,1092
32,167.5,66.5,870,917
33,185.20000000000002,87.9,966,1047
34,178.5,67.5,806,931
35,179.10000000000002,88.4,1096,1015
36,168.5,69.5,895,941
37,185.0,121.80000000000001,1214,1221
38,173.70000000000002,71.9,790,931
39,174.3,88.10000000000001,1002,1032
40,174.4,57.5,748,872
41,167.9,87.60000000000001,1043,1026
42,183.60000000000002,85.0,864,998
43,173.0,86.5,969,988
44,176.20000000000002,95.80000000000001,1095,1115
45,166.9,66.7,770,901
46,174.0,70.60000000000001,840,973
47,170.9,84.7,1028,1002
48,187.9,101.30000000000001,1021,1063
49,167.4,85.60000000000001,1061,1051
50,177.9,109.5,1139,1243
51,184.4,83.4,922,1007
52,163.70000000000002,72.7,995,981
53,175.4,98.60000000000001,1047,1030
54,170.4,77.30000000000001,885,954
55,184.0,140.0,1379,1265
56,178.3,67.4,750,897
57,174.8,88.4,970,1067
58,170.3,98.80000000000001,1068,1099
59,185.20000000000002,95.2,1012,1023
60,160.9,56.6,754,877
61,170.9,71.7,926,968
62,183.5,71.7,827,952
63,167.9,80.2,940,1032
64,174.20000000000002,98.80000000000001,1133,1074
65,169.8,66.2,843,922
66,167.10000000000002,80.7,1021,1025
67,185.0,105.30000000000001,1061,1087
68,175.4,68.3,786,939
69,161.9,74.9,855,952
70,177.20000000000002,73.8,830,956
71,170.5,60.400000000000006,743,823
72,161.9,77.4,967,999
73,172.60000000000002,76.80000000000001,922,976
74,184.0,102.2,1120,1116
75,174.3,96.30000000000001,1060,1071
76,167.4,92.30000000000001,1030,1081
77,175.0,98.80000000000001,974,1073
78,181.9,88.7,844,1042
79,179.9,98.7,969,1022
80,175.0,85.2,1010,1017
81,172.3,74.8,892,972
82,180.9,92.0,1032,1006
83,179.10000000000002,74.4,851,949
84,172.3,82.30000000000001,979,986
85,157.8,62.7,857,926
86,171.8,77.80000000000001,979,990
87,179.9,88.2,984,1070
88,174.0,59.0,721,847
89,170.20000000000002,73.0,885,939
90,173.70000000000002,86.4,961,1054
91,173.0,86.60000000000001,996,1046
92,178.5,73.7,838,997
93,181.70000000000002,65.4,752,884
94,184.3,69.60000000000001,775,931
95,179.10000000000002,77.5,809,973
